,Demographics,,,,,,,,,,,,,,,,Employment,,,,,,Disability Status,,,,,,Mental Health,,,,,,,,COVID Vaccine and Long COVID,,,,,,Society and Arts,,,,,,,,,,Childcare,,,,,,,,Housing,,,,,,Health Insurance,,Food Security,,,,,,Internet Security,,,,,,
P090000352,1,,,1961,1,1,3,1,2,2,1,0,0,0,0,1,2,2,6,4,4,4,2,1,2,1,2,1,3,3,2,2,4,4,4,6,2,4,2,5,5,5,3,3,2,1,4,4,2,2,2,4,3,3,3,3,3,3,3,3,3,1,1,1,3,2,2,1,4,3,2,1,2,2,1,1,2,2,2,2,5
P090000357,8,,,1975,1,1,7,1,2,2,4,2,2,0,0,6,2,2,6,4,4,4,1,1,2,2,2,1,2,2,1,2,1,1,2,3,1,2,1,3,3,2,2,5,4,2,1,3,2,2,2,1,2,2,2,2,2,2,2,2,2,2,7,3,1,4,1,3,2,1,2,2,2,2,1,1,2,2,2,2,5
P090000361,51,47900,,1962,1,3,6,1,2,2,2,0,0,0,0,8,2,2,6,5,4,4,1,1,1,1,1,1,1,1,1,1,4,4,4,6,1,1,2,5,5,5,1,4,4,2,4,5,2,2,1,1,3,3,3,3,3,3,3,3,1,2,7,3,4,4,1,2,1,1,2,2,2,2,1,1,2,2,2,2,5
P090000363,32,,,1952,2,4,3,1,1,2,2,0,0,0,0,1,2,2,6,5,4,4,1,1,2,2,1,1,4,2,1,1,4,4,4,6,1,1,2,5,5,5,4,3,3,1,4,1,1,1,2,1,3,3,3,3,3,3,3,3,2,2,7,3,1,2,2,1,3,1,2,2,2,2,2,1,2,2,2,2,5
P090000367,20,,,1953,1,1,7,1,2,2,2,0,0,0,0,5,2,2,6,5,4,4,1,2,2,2,1,1,1,1,1,1,4,4,4,6,1,3,2,5,5,5,1,4,3,2,4,1,2,2,1,2,3,3,3,3,3,3,3,3,2,2,7,3,1,4,1,1,1,1,2,2,2,2,1,1,2,2,2,2,5
P090000371,49,,,1982,1,1,7,1,1,2,4,2,2,0,0,8,2,1,4,10,3,3,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,4,2,5,5,5,2,3,2,2,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,7,3,1,4,1,2,1,1,2,2,2,2,1,1,2,2,2,2,5
P090000372,6,40140,,1956,1,1,6,1,1,2,2,0,0,0,0,6,2,2,6,5,4,4,1,1,1,1,1,1,1,1,1,1,4,4,4,6,1,2,2,5,5,5,1,4,4,1,1,1,2,2,2,1,3,3,3,3,3,3,3,3,2,2,7,3,1,4,1,1,1,1,2,2,2,2,1,1,2,2,2,2,5
P090000374,20,,,1977,1,1,7,1,1,2,4,0,0,0,0,7,2,1,1,10,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,6,2,4,2,5,5,5,3,4,3,2,2,4,1,1,1,3,3,3,3,3,3,3,3,3,2,2,7,3,1,4,1,2,2,2,2,2,2,2,1,1,2,2,2,2,5
P090000375,24,,,1964,1,1,7,2,2,2,2,0,0,0,0,4,2,2,6,5,4,4,1,1,3,1,1,1,3,2,3,1,4,4,4,6,1,3,2,5,5,5,1,4,4,1,2,1,1,2,2,2,3,3,3,3,3,3,3,3,4,3,7,3,3,2,1,1,3,1,1,2,2,2,2,2,2,2,2,2,5
P090000378,55,,,1957,1,1,6,3,1,2,1,0,0,0,0,3,2,2,6,5,4,4,1,1,1,1,1,1,1,1,1,1,4,4,4,6,1,1,2,5,5,5,5,5,2,1,1,1,2,2,2,2,3,3,3,3,3,3,3,3,1,2,7,3,4,4,1,1,1,1,2,2,2,2,1,1,2,2,2,1,3
P090000383,55,,,1993,1,1,6,5,2,2,2,0,0,0,0,3,2,1,2,10,1,4,1,1,1,2,1,1,2,2,1,1,4,4,4,6,1,1,2,5,5,5,1,4,1,3,1,1,2,2,1,2,3,3,3,3,3,3,3,3,3,3,1,1,3,4,1,3,3,1,2,2,2,2,1,1,2,2,2,2,5
P090000388,5,,,1952,1,1,6,1,2,2,2,0,0,0,0,4,2,2,6,5,4,4,1,2,2,1,1,1,2,2,1,2,4,4,4,6,1,2,2,5,5,5,2,3,2,1,1,1,2,2,2,2,3,3,3,3,3,3,3,3,2,2,7,3,1,4,1,1,1,1,2,2,2,2,1,1,2,2,2,2,5
P090000391,50,,,1956,1,1,6,1,1,2,2,0,0,0,0,8,2,2,6,5,4,4,1,1,1,1,1,1,1,1,1,1,4,4,4,6,1,1,2,5,5,5,1,5,1,1,1,1,2,2,2,1,3,3,3,3,3,3,3,3,2,2,7,3,1,4,3,1,1,1,2,2,2,2,1,1,2,2,2,2,5
P090000393,1,,,1952,1,1,7,1,2,2,2,0,0,0,0,6,2,2,6,5,4,4,1,2,1,2,1,1,2,2,1,1,4,4,4,6,1,3,2,5,5,5,2,4,4,1,1,1,2,2,2,2,3,3,3,3,3,3,3,3,1,2,7,3,4,4,1,1,1,1,2,2,2,2,1,1,2,2,2,2,5
P090000395,16,,,1956,1,1,3,3,1,2,1,0,0,0,0,1,2,2,6,5,4,4,1,1,1,1,1,1,1,1,2,1,4,4,4,6,2,4,2,5,5,5,3,3,2,2,2,1,2,2,2,2,3,3,3,3,3,3,3,3,1,1,7,3,4,4,2,1,2,1,2,2,2,2,1,1,1,2,2,2,3
P090000408,6,,,1947,1,3,4,2,2,2,2,0,0,0,0,6,2,2,6,5,4,4,1,1,1,1,1,1,1,1,1,1,4,4,4,6,1,2,2,5,5,5,1,4,4,3,1,1,2,2,2,1,3,3,3,3,3,3,3,3,2,2,7,3,1,4,1,1,1,1,2,2,2,2,1,1,2,2,2,2,5
P090000419,24,,,1971,1,1,6,1,2,2,6,0,0,0,0,6,2,1,2,10,3,4,1,1,1,1,1,1,2,1,1,1,4,4,4,6,1,3,2,5,5,5,2,4,3,1,1,1,2,2,1,2,3,3,3,3,3,3,3,3,2,2,7,3,1,4,1,2,1,1,2,2,2,2,1,1,2,2,2,2,5
P090000423,18,,,1950,1,1,5,3,2,2,1,0,0,0,0,3,2,2,6,5,4,4,2,2,2,2,1,1,2,1,2,1,4,4,4,6,1,1,2,5,5,5,3,3,2,1,1,1,2,2,2,3,3,3,3,3,3,3,3,3,1,2,7,3,4,4,1,1,1,1,2,2,2,2,1,1,2,2,2,2,5
P090000426,23,,,1963,1,1,3,5,1,2,1,0,0,0,0,1,2,2,6,4,4,4,2,2,2,2,1,1,1,1,1,1,4,4,4,6,1,1,2,5,5,5,3,4,1,1,1,1,2,2,2,2,3,3,3,3,3,3,3,3,3,4,3,1,3,4,2,1,1,1,2,1,2,2,1,1,2,2,2,2,5
P090000430,25,14460,,1950,1,1,6,1,1,2,2,0,0,0,0,5,2,2,6,5,4,4,1,1,2,1,1,1,1,1,1,1,4,4,4,6,1,2,2,5,5,5,1,5,4,2,1,1,2,2,2,1,3,3,3,3,3,3,3,3,1,2,7,3,4,4,1,1,1,1,2,2,2,2,1,1,2,2,2,2,5
P090000431,1,,,1955,1,1,6,1,1,2,2,0,0,0,0,5,2,2,6,5,4,4,2,1,1,1,1,1,1,1,1,1,4,4,4,6,1,1,2,5,5,5,5,4,1,2,1,1,2,2,2,2,3,3,3,3,3,3,3,3,1,2,7,3,4,4,1,1,1,2,2,2,2,2,1,1,2,2,2,2,5
P090000432,48,26420,,1987,1,2,4,5,1,3,1,0,0,0,0,4,2,1,2,10,3,3,1,1,2,3,2,2,4,4,3,4,4,4,4,6,1,2,2,5,5,5,4,5,3,2,1,1,2,2,2,3,3,3,3,3,3,3,3,3,3,6,5,1,3,1,1,3,2,2,2,2,2,2,1,1,2,2,2,2,5
P090000445,9,,,1957,1,1,3,5,2,2,3,0,0,0,0,1,2,2,6,5,4,4,2,2,3,1,1,1,1,1,1,1,4,4,4,6,1,1,2,5,5,5,2,4,3,2,1,1,2,2,2,1,3,3,3,3,3,3,3,3,3,6,4,1,3,4,1,1,2,2,2,2,2,2,1,1,2,2,2,2,5
P090000454,19,,,1968,1,1,4,3,2,3,1,0,0,0,0,4,2,1,3,10,2,2,2,1,2,2,1,1,2,2,2,2,4,4,4,6,1,3,2,5,5,5,3,2,4,1,1,1,1,1,2,3,3,3,3,3,3,3,3,3,1,2,7,3,4,2,1,1,2,2,2,2,2,2,1,1,2,2,2,2,5
P090000460,48,19100,,1959,1,1,4,1,1,2,2,0,0,0,0,4,2,1,5,10,3,4,1,1,2,1,1,1,2,2,1,1,4,4,4,6,1,2,2,5,5,5,2,5,4,3,1,1,2,2,2,2,3,3,3,3,3,3,3,3,2,2,7,3,1,3,1,1,3,1,2,2,2,2,1,1,2,2,2,2,5
P090000490,9,,,1981,1,1,6,5,2,2,2,0,0,0,0,3,2,1,4,10,1,1,1,1,1,1,1,1,2,1,1,1,4,4,4,6,1,3,2,5,5,5,1,4,4,3,3,4,1,1,1,1,3,3,3,3,3,3,3,3,2,5,7,3,1,4,1,2,1,1,2,2,2,2,1,1,2,2,2,2,5
P090000493,36,,,2004,1,1,4,5,2,2,1,0,0,0,0,1,2,2,6,1,4,4,1,1,1,1,1,1,1,1,1,1,4,4,4,6,2,4,2,5,5,5,1,4,2,2,4,5,2,2,2,2,3,3,3,3,3,3,3,3,3,6,4,1,3,3,2,2,3,2,2,2,2,2,1,1,2,2,2,2,5
P090000498,24,,,1965,1,2,4,4,2,2,1,0,0,0,0,1,2,2,6,4,4,4,2,1,2,2,1,2,1,2,1,1,4,4,4,6,1,1,2,5,5,5,2,3,4,2,1,3,2,2,2,3,3,3,3,3,3,3,3,3,2,2,7,3,1,4,2,1,2,2,2,1,2,2,2,1,2,2,2,2,5
P090000499,4,,,1951,1,1,7,1,2,2,2,0,0,0,0,6,2,2,6,5,4,4,2,1,1,1,1,1,1,1,1,1,4,4,4,6,1,1,2,5,5,5,2,5,3,1,1,1,2,2,2,3,3,3,3,3,3,3,3,3,2,2,7,3,1,4,1,1,1,1,2,2,2,2,1,1,2,2,2,2,5
P090000501,11,47900,,1978,2,1,7,1,1,2,4,2,2,0,0,8,2,1,1,10,3,1,1,1,1,1,1,1,1,1,1,1,2,1,2,3,1,1,1,2,3,3,2,5,3,3,1,1,1,1,2,1,2,2,2,2,2,2,2,2,2,3,7,3,1,4,1,2,2,1,2,2,2,2,1,1,2,2,2,2,5
P090000502,41,,,1972,1,1,7,5,2,2,1,0,0,0,0,7,2,1,3,10,3,3,2,1,1,1,1,1,3,3,1,1,4,4,4,6,1,1,2,5,5,5,2,4,2,2,2,5,1,2,1,1,3,3,3,3,3,3,3,3,2,2,7,3,1,4,1,2,1,1,2,2,2,2,1,1,2,2,2,2,5
P090000504,17,16980,,1953,1,1,3,1,2,2,3,0,0,0,0,5,2,2,6,5,4,4,1,1,2,1,1,1,1,1,1,1,4,4,4,6,1,2,2,5,5,5,1,5,3,1,4,3,2,2,2,2,3,3,3,3,3,3,3,3,2,2,7,3,1,4,1,1,2,2,2,2,2,2,1,1,2,2,2,2,5
P090000505,26,19820,,1965,1,2,4,3,2,2,1,0,0,0,0,1,2,2,6,4,4,4,1,1,2,2,1,2,2,4,3,3,4,4,4,6,1,1,2,5,5,5,4,2,2,2,4,3,2,2,1,1,3,3,3,3,3,3,3,3,2,2,7,3,1,4,1,2,4,2,2,2,2,2,1,1,2,2,2,2,5
P090000510,20,,,1956,1,1,7,5,2,2,1,0,0,0,0,1,2,2,6,4,4,4,2,2,3,1,1,1,1,1,1,1,4,4,4,6,1,1,1,4,2,2,1,5,4,3,4,5,2,2,2,1,3,3,3,3,3,3,3,3,1,2,7,3,4,1,1,1,3,2,1,2,2,2,2,1,2,2,2,2,5
P090000519,55,,,1965,1,1,4,5,2,1,1,0,0,0,0,1,2,2,6,9,4,4,2,3,3,3,2,2,2,4,3,3,4,4,4,6,1,3,2,5,5,5,3,3,1,1,4,1,2,2,2,4,3,3,3,3,3,3,3,3,3,6,3,1,3,4,2,1,4,3,2,1,2,2,1,1,2,1,2,2,3
P090000520,37,,,1953,1,1,4,2,2,2,1,0,0,0,0,1,2,2,6,5,4,4,1,1,1,1,1,1,1,1,1,1,4,4,4,6,1,1,2,5,5,5,1,4,4,3,1,5,2,2,2,2,3,3,3,3,3,3,3,3,1,2,7,3,4,4,1,1,1,1,2,2,2,2,1,1,1,2,2,2,2
P090000524,16,,,2004,1,1,4,5,1,2,4,1,1,0,0,6,2,1,1,10,1,4,1,1,1,1,1,1,1,1,2,2,3,5,5,7,1,3,2,5,5,5,2,2,1,2,1,5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,7,3,1,4,1,2,1,1,2,2,2,2,1,1,2,2,2,2,5
P090000531,15,,,1969,1,1,4,3,2,2,3,0,0,0,0,5,1,2,6,6,4,4,1,1,2,1,1,1,4,4,3,2,4,4,4,6,1,2,2,5,5,5,3,4,4,1,1,4,1,2,2,2,3,3,3,3,3,3,3,3,2,3,7,3,1,4,2,1,2,2,2,2,2,2,1,1,2,2,2,2,5
P090000536,4,38060,,1986,1,4,7,5,2,2,2,0,0,0,0,6,2,1,3,10,3,3,1,1,1,1,1,1,2,2,2,2,4,4,4,6,1,3,1,2,3,3,2,4,3,1,1,1,1,2,1,2,3,3,3,3,3,3,3,3,3,6,6,1,3,4,1,2,3,1,2,2,2,2,1,1,2,2,2,2,5
P090000538,16,,,1947,1,1,3,1,2,2,2,0,0,0,0,1,2,2,6,5,4,4,1,1,1,1,1,1,1,1,1,1,4,4,4,6,1,3,2,5,5,5,1,5,4,2,4,5,2,2,2,2,3,3,3,3,3,3,3,3,1,2,7,3,4,4,2,1,1,1,2,2,2,2,1,1,2,2,2,2,5
P090000544,37,,,1948,1,1,6,1,1,2,2,0,0,0,0,5,2,2,6,5,4,4,1,1,1,2,1,1,2,2,1,2,4,4,4,6,1,3,2,5,5,5,2,3,3,2,1,1,1,1,2,2,3,3,3,3,3,3,3,3,3,2,4,1,3,4,1,1,1,1,2,2,2,2,1,1,2,2,2,2,5
P090000553,34,37980,,1955,1,1,5,1,1,2,2,0,0,0,0,6,2,1,2,10,1,1,2,1,1,1,1,1,1,1,1,1,4,4,4,6,1,2,2,5,5,5,5,5,3,2,1,1,2,2,1,2,3,3,3,3,3,3,3,3,2,2,7,3,1,4,1,1,1,1,2,2,2,2,1,1,2,2,2,2,5
P090000557,24,47900,,1951,1,2,3,1,1,2,2,0,0,0,0,4,2,2,6,5,4,4,2,1,2,2,1,1,1,1,1,1,4,4,4,6,1,1,2,5,5,5,1,5,3,2,2,1,2,2,2,3,3,3,3,3,3,3,3,3,2,2,7,3,1,4,1,1,1,1,2,2,2,2,1,1,2,2,2,2,5
P090000558,48,19100,,1964,1,1,6,1,2,2,2,0,0,0,0,7,2,1,2,10,3,3,1,1,2,1,1,1,1,1,1,1,4,4,4,6,1,3,2,5,5,5,1,4,4,2,2,4,1,1,2,2,3,3,3,3,3,3,3,3,2,2,7,3,1,4,1,1,1,1,2,2,2,2,1,1,2,2,2,2,5
P090000561,18,,,1952,1,1,5,1,2,2,2,0,0,0,0,4,2,2,6,5,4,4,1,1,2,1,1,1,1,1,1,1,4,4,4,6,1,1,2,5,5,5,2,4,1,1,1,1,2,2,2,2,3,3,3,3,3,3,3,3,2,2,7,3,1,4,1,1,1,1,2,2,2,2,1,1,2,2,2,2,5
P090000565,53,,,1955,1,1,4,1,2,2,2,0,0,0,0,5,2,2,6,5,4,4,1,2,1,1,1,1,1,1,1,1,4,4,4,6,1,2,2,5,5,5,1,4,4,2,3,1,2,2,2,2,3,3,3,3,3,3,3,3,1,1,7,3,4,3,1,1,1,1,2,2,2,2,1,1,2,2,2,2,5
P090000570,19,,,1953,1,1,3,3,2,2,1,0,0,0,0,1,2,2,6,5,4,4,2,1,1,1,1,1,2,1,1,2,4,4,4,6,1,3,2,5,5,5,2,3,3,3,2,3,2,2,2,2,3,3,3,3,3,3,3,3,2,2,7,3,1,3,2,1,3,2,2,2,2,2,1,1,2,2,2,2,5
P090000576,25,14460,,1997,1,4,4,5,1,1,2,0,0,0,0,2,2,2,6,9,4,4,1,1,1,2,1,1,1,2,2,2,4,4,4,6,1,1,2,5,5,5,4,2,1,2,1,2,2,1,2,2,3,3,3,3,3,3,3,3,3,6,5,1,3,4,2,1,2,1,2,2,2,2,1,1,2,2,2,2,5
P090000577,51,47900,,1954,1,1,5,3,2,2,1,0,0,0,0,4,2,2,6,5,4,4,1,1,2,1,1,1,1,1,1,1,4,4,4,6,2,4,2,5,5,5,2,4,4,2,1,3,1,2,2,3,3,3,3,3,3,3,3,3,2,2,7,3,1,4,1,1,1,1,2,2,2,2,1,1,2,2,2,2,5
P090000589,20,,,1978,1,3,3,1,2,2,4,2,2,0,0,7,2,2,6,9,4,4,1,1,1,1,1,2,1,1,1,1,3,5,5,7,1,2,2,5,5,5,5,5,3,3,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,7,3,4,4,1,2,2,1,2,2,2,2,1,1,1,2,1,2,4
P090000593,41,,,1955,1,1,3,5,1,3,1,0,0,0,0,1,2,2,6,5,4,4,1,1,1,1,1,1,2,2,2,2,4,4,4,6,1,1,2,5,5,5,5,1,3,4,1,1,2,2,2,4,3,3,3,3,3,3,3,3,4,7,7,3,3,4,1,1,3,2,2,2,2,2,1,1,2,2,2,2,5
P090000598,48,,,1957,1,1,3,1,2,2,2,0,0,0,0,1,2,2,6,4,4,4,1,2,3,2,2,2,2,2,2,2,4,4,4,6,2,4,2,5,5,5,3,1,1,1,2,1,2,2,2,3,3,3,3,3,3,3,3,3,2,2,7,3,1,2,2,1,4,4,2,2,2,2,1,1,2,2,2,2,5
P090000600,21,,,1997,1,1,6,1,2,2,2,0,0,0,0,4,2,2,6,1,4,4,1,1,1,2,2,1,2,2,3,3,4,4,4,6,1,3,2,5,5,5,1,2,4,1,1,1,2,2,1,4,3,3,3,3,3,3,3,3,3,2,1,1,3,2,1,2,2,1,2,2,2,2,1,1,2,2,2,2,5
P090000604,21,,,1964,1,1,4,1,1,2,2,0,0,0,0,3,2,2,6,5,4,4,2,1,1,2,1,1,2,2,4,3,4,4,4,6,2,4,2,5,5,5,4,1,2,1,1,4,2,2,2,4,3,3,3,3,3,3,3,3,1,3,7,3,4,1,1,1,3,2,1,1,2,2,1,1,2,2,2,2,2
P090000608,4,,,1966,1,1,6,3,1,2,1,0,0,0,0,1,1,2,6,4,4,4,1,1,1,1,1,1,4,4,4,4,4,4,4,6,2,4,2,5,5,5,3,1,1,1,2,1,2,2,2,2,3,3,3,3,3,3,3,3,4,2,7,3,3,1,1,3,4,4,2,2,2,2,1,1,2,2,2,2,5
P090000612,6,,,1975,1,4,4,3,2,2,6,3,1,0,0,3,2,1,2,10,3,4,1,1,2,1,1,1,1,2,1,2,3,5,5,7,2,4,1,4,3,2,2,3,4,3,3,5,2,2,2,3,2,2,2,2,2,2,2,2,3,2,4,2,3,1,1,2,4,3,2,2,2,1,1,1,1,2,2,2,2
P090000617,2,,,1955,1,1,5,3,2,2,1,0,0,0,0,1,2,2,6,5,4,4,1,1,1,1,1,1,1,1,1,1,4,4,4,6,1,3,2,5,5,5,1,4,3,3,4,5,2,1,2,1,3,3,3,3,3,3,3,3,4,6,7,3,3,4,2,1,1,1,2,2,2,2,1,1,2,2,2,2,5
P090000624,26,,,1954,1,1,4,1,2,2,2,0,0,0,0,4,2,2,6,5,4,4,1,1,1,2,1,1,1,1,1,1,4,4,4,6,1,1,2,5,5,5,1,5,2,2,1,1,2,2,2,1,3,3,3,3,3,3,3,3,2,2,7,3,1,4,1,1,1,1,2,2,2,2,1,1,2,2,2,2,5
P090000626,16,,,1982,1,1,6,1,2,2,4,2,2,0,0,6,2,1,2,10,3,3,2,2,1,2,1,1,2,2,2,2,3,5,5,7,1,3,2,5,5,5,4,3,1,1,1,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,7,3,1,4,1,2,2,2,2,2,2,2,1,1,2,2,2,2,5
P090000628,27,,,1951,1,1,4,1,1,2,1,0,0,0,0,3,2,1,5,10,3,3,1,1,1,1,1,1,1,1,1,1,4,4,4,6,2,4,2,5,5,5,1,4,3,2,1,1,2,2,2,1,3,3,3,3,3,3,3,3,1,1,7,3,4,3,2,1,2,1,2,2,2,2,1,1,2,2,2,2,5
P090000635,26,,,1970,1,1,5,1,2,2,2,0,0,0,0,4,2,1,2,10,2,2,1,1,1,1,1,1,1,1,1,1,4,4,4,6,2,4,2,5,5,5,1,4,4,2,1,1,2,2,2,2,3,3,3,3,3,3,3,3,2,2,7,3,1,2,2,2,2,1,2,2,2,2,1,1,2,2,2,2,5
P090000636,20,,,1962,1,1,7,3,2,2,2,0,0,0,0,4,2,2,6,5,4,4,1,1,1,2,1,1,3,4,2,2,4,4,4,6,1,1,2,5,5,5,2,3,2,3,4,5,2,2,1,3,3,3,3,3,3,3,3,3,2,2,7,3,1,4,1,3,2,1,2,2,2,2,1,1,2,2,2,2,5
P090000643,32,,,1942,1,1,7,1,1,2,2,0,0,0,0,5,2,2,6,5,4,4,1,1,1,1,1,1,1,1,1,1,4,4,4,6,1,3,2,5,5,5,1,5,2,1,1,1,2,2,2,2,3,3,3,3,3,3,3,3,1,2,7,3,4,4,1,1,1,1,2,2,2,2,1,1,2,2,2,2,5
P090000646,42,,,1960,1,1,3,1,2,2,4,1,1,0,0,4,2,2,6,5,4,4,1,1,1,1,1,1,2,1,1,1,3,5,5,7,1,3,2,5,5,5,4,5,4,4,1,1,1,2,1,4,2,2,2,2,2,2,2,2,2,2,7,3,1,4,2,2,2,1,2,2,2,2,1,1,2,2,2,2,5
P090000648,29,,,1975,1,1,5,3,2,2,3,1,1,0,0,1,2,2,6,4,4,4,2,2,2,3,2,1,2,2,1,2,3,5,5,7,2,4,2,5,5,5,3,3,2,1,2,1,2,2,2,3,2,2,2,2,2,2,2,2,3,1,1,1,3,3,2,1,2,2,2,1,2,2,1,1,2,2,2,2,5
P090000653,6,31080,,1969,2,2,5,1,2,2,3,1,1,0,0,6,2,1,2,10,2,2,2,2,1,1,1,1,3,2,1,1,3,5,5,7,1,2,1,4,3,1,3,3,4,2,4,5,1,2,1,2,2,2,2,2,2,2,2,2,3,5,4,1,3,3,1,2,3,2,2,2,2,2,1,1,2,2,2,2,5
P090000661,48,19100,,1965,1,3,7,1,1,2,4,1,0,0,1,4,2,1,3,10,3,3,1,1,1,1,1,1,2,1,1,1,3,5,5,7,1,1,2,5,5,5,2,4,1,1,4,5,2,2,2,2,2,2,2,2,2,2,2,2,1,2,7,3,4,4,1,2,1,1,2,2,2,2,1,1,2,2,2,2,5
P090000662,25,,,1953,1,1,7,3,2,2,1,0,0,0,0,4,2,2,6,5,4,4,2,2,1,1,1,1,1,1,1,1,4,4,4,6,1,1,2,5,5,5,2,5,4,2,4,5,1,2,2,1,3,3,3,3,3,3,3,3,1,2,7,3,4,4,1,1,1,1,2,2,2,2,1,2,2,2,2,2,5
P090000670,48,26420,,1961,1,1,4,1,1,2,3,0,0,0,0,8,2,2,6,5,4,4,1,2,1,1,1,1,1,1,1,1,4,4,4,6,1,3,1,3,3,2,2,4,2,1,4,5,2,2,1,3,3,3,3,3,3,3,3,3,2,2,7,3,1,4,1,3,1,1,2,2,2,2,1,1,2,2,2,2,5
P090000696,35,,,1960,1,1,6,3,1,2,1,0,0,0,0,1,2,2,6,4,4,4,1,1,2,1,1,1,2,1,1,2,4,4,4,6,1,1,2,5,5,5,3,3,2,2,2,1,2,2,2,4,3,3,3,3,3,3,3,3,3,6,3,1,3,4,2,1,2,2,2,2,2,2,1,1,1,2,2,2,2
P090000698,12,,,1983,1,1,6,1,1,3,4,2,0,0,2,3,1,2,6,6,3,4,1,1,1,2,2,1,2,2,1,2,3,5,5,7,1,3,2,5,5,5,4,3,2,1,1,4,2,2,1,3,1,2,2,2,2,2,1,2,3,2,4,1,3,4,1,3,3,2,2,2,1,2,1,1,2,2,2,2,5
P090000705,6,40140,,1963,1,1,6,1,1,2,3,0,0,0,0,6,2,2,6,5,4,4,3,2,3,2,1,1,2,2,4,3,4,4,4,6,1,3,2,5,5,5,2,2,4,1,1,1,2,2,1,3,3,3,3,3,3,3,3,3,2,2,7,3,1,4,1,2,1,1,2,2,2,2,1,1,2,2,2,2,5
P090000706,41,,,1984,1,1,7,1,2,2,4,2,2,0,0,8,2,1,2,10,3,1,1,1,1,1,1,1,1,1,1,1,3,5,5,7,1,2,2,5,5,5,2,4,2,2,1,5,1,2,2,2,2,2,2,2,2,2,2,2,2,2,7,3,1,4,1,3,1,1,2,2,2,2,1,1,2,2,2,2,5
P090000716,47,,,1959,1,1,4,3,1,2,2,0,0,0,0,3,2,2,6,4,4,4,1,1,2,1,2,2,1,1,1,1,4,4,4,6,1,1,2,5,5,5,2,4,3,1,1,1,2,2,2,2,3,3,3,3,3,3,3,3,1,2,7,3,4,4,1,1,1,1,2,2,2,2,1,1,2,2,2,2,5
P090000717,4,38060,,1953,1,1,6,1,1,2,2,0,0,0,0,2,1,1,4,10,2,3,2,3,1,3,1,1,4,4,3,4,4,4,4,6,2,4,1,3,3,1,3,3,4,1,4,5,2,2,2,1,3,3,3,3,3,3,3,3,3,2,1,1,3,1,3,1,4,2,2,2,2,2,1,1,2,2,2,2,5
P090000718,51,47900,,1989,1,1,7,5,1,2,1,0,0,0,0,6,2,1,2,10,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,6,1,3,2,5,5,5,3,4,2,2,1,1,2,2,2,3,3,3,3,3,3,3,3,3,2,6,7,3,1,4,1,2,1,1,2,2,2,2,1,1,2,2,2,2,5
P090000721,48,19100,,1962,1,1,4,3,1,2,1,0,0,0,0,1,2,2,6,4,4,4,4,3,2,1,2,1,4,3,4,4,4,4,4,6,1,1,2,5,5,5,4,1,1,1,1,1,2,2,2,4,3,3,3,3,3,3,3,3,3,2,4,1,3,4,2,1,3,2,2,1,2,2,1,1,2,1,2,2,2
P090000730,48,,,1952,2,1,3,3,1,2,1,0,0,0,0,1,1,2,6,4,4,4,1,1,3,1,1,1,3,3,4,4,4,4,4,6,1,2,2,5,5,5,3,3,3,3,1,1,2,2,2,4,3,3,3,3,3,3,3,3,1,2,7,3,4,4,2,1,3,1,2,2,2,2,2,2,2,2,2,2,5
P090000736,48,19100,,1945,1,1,7,1,1,2,3,0,0,0,0,4,2,1,3,10,3,3,1,2,3,1,2,1,1,1,1,1,4,4,4,6,1,3,2,5,5,5,1,4,2,2,4,4,2,2,2,3,3,3,3,3,3,3,3,3,1,1,7,3,4,4,1,1,1,1,2,2,2,2,1,1,2,2,2,2,5
P090000740,47,,,1946,1,1,5,3,1,2,1,0,0,0,0,4,2,2,6,5,4,4,1,2,1,1,1,1,2,2,2,2,4,4,4,6,1,1,1,3,3,2,5,5,2,1,1,5,2,2,2,2,3,3,3,3,3,3,3,3,2,3,7,3,1,4,1,2,1,2,2,2,2,2,1,1,2,2,2,2,5
P090000742,50,,,1962,1,1,6,1,1,2,2,0,0,0,0,7,2,1,2,10,3,3,1,1,1,1,1,1,1,1,1,1,4,4,4,6,1,3,2,5,5,5,1,5,2,1,2,1,2,2,2,2,3,3,3,3,3,3,3,3,2,2,7,3,1,4,1,2,1,1,2,2,2,2,1,1,2,2,2,2,5
P090000754,6,40140,,1954,2,1,5,1,2,2,3,0,0,0,0,5,2,2,6,5,4,4,1,1,2,1,1,1,2,2,1,1,4,4,4,6,1,1,2,5,5,5,3,5,2,1,1,1,2,2,2,4,3,3,3,3,3,3,3,3,2,2,7,3,1,4,1,1,3,2,2,2,2,2,1,1,1,2,2,2,1
P090000755,4,,,1959,1,1,5,3,2,2,1,0,0,0,0,7,2,2,6,5,4,4,2,2,2,1,1,1,1,1,1,1,4,4,4,6,1,2,2,5,5,5,5,4,3,2,1,1,2,2,1,2,3,3,3,3,3,3,3,3,2,2,7,3,1,4,1,1,1,1,2,2,2,2,1,1,2,2,2,2,5
